Unnamed: 0,date,city,market_sold_at,market_id,latitude,longitude,crop,crop_category,crop_id,unit(KG),price_flag,price_type,currency,cedi_price,dollar_price
2523,15/01/2014,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,120.0,50.21
2524,15/01/2014,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,350.0,146.44
2525,15/01/2014,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,8.8,3.68
2551,15/01/2014,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,100.0,41.84
2553,15/01/2015,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,380.0,117.28
2579,15/01/2015,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,100.0,30.86
2580,15/01/2015,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Rice (imported),cereals and tubers,64,50 KG,actual,Wholesale,GHS,275.0,84.88
2581,15/01/2015,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,180.0,55.56
2582,15/01/2015,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,68.0,20.99
2639,15/01/2015,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,15.0,4.63
2745,15/01/2016,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,400.0,105.82
2751,15/01/2016,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,88.0,23.28
2752,15/01/2016,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,174.4,46.14
2753,15/01/2016,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Rice (imported),cereals and tubers,64,50 KG,actual,Wholesale,GHS,308.0,81.48
2754,15/01/2016,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,192.0,50.79
2755,15/01/2016,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,20.2,5.34
2758,15/01/2017,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,85.0,19.98
2759,15/01/2017,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,165.0,38.79
2761,15/01/2017,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,180.0,42.32
