Unnamed: 0,date,city,market_sold_at,market_id,latitude,longitude,crop,crop_category,crop_id,unit(KG),price_flag,price_type,currency,cedi_price,dollar_price
1851,15/01/2006,Accra,Accra Metropolis,209,5.55,-0.22,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,13.9,15.11
1852,15/01/2006,Accra,Accra Metropolis,209,5.55,-0.22,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,28.2,30.65
1857,15/01/2006,Accra,Accra Metropolis,209,5.55,-0.22,Sorghum,cereals and tubers,65,109 KG,actual,Wholesale,GHS,47.95,52.12
1859,15/01/2006,Accra,Accra Metropolis,209,5.55,-0.22,Millet,cereals and tubers,73,93 KG,actual,Wholesale,GHS,50.23,54.6
1871,15/01/2006,Accra,Accra Metropolis,209,5.55,-0.22,Yam,cereals and tubers,99,250 KG,actual,Wholesale,GHS,57.75,62.77
1874,15/01/2006,Accra,Accra Metropolis,209,5.55,-0.22,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,26.0,28.26
1875,15/01/2007,Accra,Accra Metropolis,209,5.55,-0.22,Millet,cereals and tubers,73,93 KG,actual,Wholesale,GHS,41.8,45.43
1876,15/01/2007,Accra,Accra Metropolis,209,5.55,-0.22,Yam,cereals and tubers,99,250 KG,actual,Wholesale,GHS,66.57,72.36
1891,15/01/2007,Accra,Accra Metropolis,209,5.55,-0.22,Sorghum,cereals and tubers,65,109 KG,actual,Wholesale,GHS,39.13,42.53
1893,15/01/2007,Accra,Accra Metropolis,209,5.55,-0.22,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,28.1,30.54
1894,15/01/2007,Accra,Accra Metropolis,209,5.55,-0.22,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,25.0,27.17
1909,15/01/2007,Accra,Accra Metropolis,209,5.55,-0.22,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,11.97,13.01
1910,15/01/2007,Accra,Accra Metropolis,209,5.55,-0.22,Rice (imported),cereals and tubers,64,50 KG,actual,Wholesale,GHS,34.7,37.72
1929,15/01/2008,Tema,Tema Metropolis,210,5.62,-0.02,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,4.13,4.35
1930,15/01/2008,Tema,Tema Metropolis,210,5.62,-0.02,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,69.0,72.63
1937,15/01/2008,Accra,Accra Metropolis,209,5.55,-0.22,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,16.5,17.37
1938,15/01/2008,Accra,Accra Metropolis,209,5.55,-0.22,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,30.75,32.37
1939,15/01/2008,Accra,Accra Metropolis,209,5.55,-0.22,Millet,cereals and tubers,73,93 KG,actual,Wholesale,GHS,48.25,50.79
1940,15/01/2008,Accra,Accra Metropolis,209,5.55,-0.22,Rice (imported),cereals and tubers,64,50 KG,actual,Wholesale,GHS,44.5,46.84
1943,15/01/2008,Accra,Accra Metropolis,209,5.55,-0.22,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,28.75,30.26
1944,15/01/2008,Accra,Accra Metropolis,209,5.55,-0.22,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,70.0,73.68
1945,15/01/2008,Accra,Accra Metropolis,209,5.55,-0.22,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,2.93,3.08
1946,15/01/2008,Tema,Tema Metropolis,210,5.62,-0.02,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,13.25,13.95
1947,15/01/2008,Tema,Tema Metropolis,210,5.62,-0.02,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,38.88,40.93
1951,15/01/2008,Accra,Accra Metropolis,209,5.55,-0.22,Sorghum,cereals and tubers,65,109 KG,actual,Wholesale,GHS,43.75,46.05
1996,15/01/2009,Tema,Tema Metropolis,210,5.62,-0.02,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,218.0,170.31
