Unnamed: 0,date,city,market_sold_at,market_id,latitude,longitude,crop,crop_category,crop_id,unit(KG),price_flag,price_type,currency,cedi_price,dollar_price
2746,15/01/2016,Ho,Ho Municipal,219,6.6,0.47,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,174.0,46.03
2747,15/01/2016,Ho,Ho Municipal,219,6.6,0.47,Rice (imported),cereals and tubers,64,50 KG,actual,Wholesale,GHS,276.0,73.02
2748,15/01/2016,Ho,Ho Municipal,219,6.6,0.47,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,256.0,67.72
2749,15/01/2016,Ho,Ho Municipal,219,6.6,0.47,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,390.0,103.17
2750,15/01/2016,Ho,Ho Municipal,219,6.6,0.47,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,20.0,5.29
2871,15/01/2018,Ho,Ho Municipal,219,6.6,0.47,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,77.48,17.18
2872,15/01/2018,Ho,Ho Municipal,219,6.6,0.47,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,163.0,36.14
2873,15/01/2018,Ho,Ho Municipal,219,6.6,0.47,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,976.0,216.41
2875,15/01/2018,Ho,Ho Municipal,219,6.6,0.47,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,10.53,2.33
3395,15/01/2020,Ho,Ho Municipal,219,6.6,0.47,Gari,cereals and tubers,63,KG,aggregate,Retail,GHS,2.55,0.45
3396,15/01/2020,Ho,Ho Municipal,219,6.6,0.47,Maize,cereals and tubers,51,KG,aggregate,Retail,GHS,1.36,0.24
3397,15/01/2020,Ho,Ho Municipal,219,6.6,0.47,Maize (yellow),cereals and tubers,136,KG,aggregate,Retail,GHS,1.51,0.27
3398,15/01/2020,Ho,Ho Municipal,219,6.6,0.47,Millet,cereals and tubers,73,KG,aggregate,Retail,GHS,2.35,0.42
3399,15/01/2020,Ho,Ho Municipal,219,6.6,0.47,Rice (imported),cereals and tubers,64,KG,aggregate,Retail,GHS,2.94,0.52
3400,15/01/2020,Ho,Ho Municipal,219,6.6,0.47,Rice (local),cereals and tubers,71,KG,aggregate,Retail,GHS,4.39,0.78
3401,15/01/2020,Ho,Ho Municipal,219,6.6,0.47,Sorghum,cereals and tubers,65,KG,aggregate,Retail,GHS,2.7,0.48
3402,15/01/2020,Ho,Ho Municipal,219,6.6,0.47,Yam,cereals and tubers,99,KG,aggregate,Retail,GHS,6.82,1.21
3403,15/01/2020,Ho,Ho Municipal,219,6.6,0.47,Yam (puna),cereals and tubers,737,KG,aggregate,Retail,GHS,4.14,0.73
3404,15/01/2020,Ho,Ho Municipal,219,6.6,0.47,"Fish (mackerel, fresh)","meat, fish and eggs",744,KG,aggregate,Retail,GHS,3.9,0.69
3405,15/01/2020,Ho,Ho Municipal,219,6.6,0.47,Meat (chicken),"meat, fish and eggs",94,KG,aggregate,Retail,GHS,3.49,0.62
3406,15/01/2020,Ho,Ho Municipal,219,6.6,0.47,Cowpeas,pulses and nuts,218,KG,aggregate,Retail,GHS,1.31,0.23
3407,15/01/2020,Ho,Ho Municipal,219,6.6,0.47,Soybeans,pulses and nuts,248,KG,aggregate,Retail,GHS,2.16,0.38
3408,15/01/2020,Ho,Ho Municipal,219,6.6,0.47,Eggplants,vegetables and fruits,434,KG,aggregate,Retail,GHS,1.92,0.34
3409,15/01/2020,Ho,Ho Municipal,219,6.6,0.47,Onions,vegetables and fruits,173,KG,aggregate,Retail,GHS,1.26,0.22
3410,15/01/2020,Ho,Ho Municipal,219,6.6,0.47,Peppers (dried),vegetables and fruits,714,KG,aggregate,Retail,GHS,2.68,0.47
3411,15/01/2020,Ho,Ho Municipal,219,6.6,0.47,Peppers (fresh),vegetables and fruits,713,KG,aggregate,Retail,GHS,2.48,0.44
3412,15/01/2020,Ho,Ho Municipal,219,6.6,0.47,Plantains (apem),vegetables and fruits,705,KG,aggregate,Retail,GHS,1.49,0.26
3413,15/01/2020,Ho,Ho Municipal,219,6.6,0.47,Plantains (apentu),vegetables and fruits,98,KG,aggregate,Retail,GHS,0.82,0.15
3414,15/01/2020,Ho,Ho Municipal,219,6.6,0.47,Tomatoes (local),vegetables and fruits,346,KG,aggregate,Retail,GHS,2.49,0.44
3415,15/01/2020,Ho,Ho Municipal,219,6.6,0.47,Tomatoes (navrongo),vegetables and fruits,710,KG,aggregate,Retail,GHS,1.41,0.25
3416,15/01/2020,Ho,Ho Municipal,219,6.6,0.47,Cassava,cereals and tubers,68,KG,aggregate,Retail,GHS,3.53,0.62
3430,15/01/2020,Hohoe,Hohoe Municipal,2802,7.15,0.47,Cassava,cereals and tubers,68,91 KG,aggregate,Wholesale,GHS,115.27,20.4
3443,15/01/2020,Hohoe,Hohoe Municipal,2802,7.15,0.47,Gari,cereals and tubers,63,68 KG,aggregate,Wholesale,GHS,209.44,37.07
3444,15/01/2020,Hohoe,Hohoe Municipal,2802,7.15,0.47,Maize,cereals and tubers,51,100 KG,aggregate,Wholesale,GHS,203.33,35.99
3445,15/01/2020,Hohoe,Hohoe Municipal,2802,7.15,0.47,Millet,cereals and tubers,73,93 KG,aggregate,Wholesale,GHS,306.25,54.2
3472,15/01/2020,Hohoe,Hohoe Municipal,2802,7.15,0.47,Rice (imported),cereals and tubers,64,50 KG,aggregate,Wholesale,GHS,362.0,64.07
3473,15/01/2020,Hohoe,Hohoe Municipal,2802,7.15,0.47,Rice (local),cereals and tubers,71,50 KG,aggregate,Wholesale,GHS,240.0,42.48
3474,15/01/2020,Hohoe,Hohoe Municipal,2802,7.15,0.47,Sorghum,cereals and tubers,65,109 KG,aggregate,Wholesale,GHS,343.92,60.87
3475,15/01/2020,Hohoe,Hohoe Municipal,2802,7.15,0.47,Yam,cereals and tubers,99,250 KG,aggregate,Wholesale,GHS,892.86,158.03
3476,15/01/2020,Hohoe,Hohoe Municipal,2802,7.15,0.47,Yam (puna),cereals and tubers,737,250 KG,aggregate,Wholesale,GHS,1025.0,181.42
3477,15/01/2020,Hohoe,Hohoe Municipal,2802,7.15,0.47,Eggs,"meat, fish and eggs",92,30 pcs,aggregate,Wholesale,GHS,16.0,2.83
3478,15/01/2020,Hohoe,Hohoe Municipal,2802,7.15,0.47,"Fish (mackerel, fresh)","meat, fish and eggs",744,20 KG,aggregate,Wholesale,GHS,167.07,29.57
3479,15/01/2020,Hohoe,Hohoe Municipal,2802,7.15,0.47,Meat (chicken),"meat, fish and eggs",94,10 KG,aggregate,Wholesale,GHS,122.0,21.59
3480,15/01/2020,Hohoe,Hohoe Municipal,2802,7.15,0.47,Cowpeas (white),pulses and nuts,479,109 KG,aggregate,Wholesale,GHS,705.45,124.86
3481,15/01/2020,Hohoe,Hohoe Municipal,2802,7.15,0.47,Onions,vegetables and fruits,173,73 KG,aggregate,Wholesale,GHS,158.02,27.97
3483,15/01/2020,Hohoe,Hohoe Municipal,2802,7.15,0.47,Plantains (apem),vegetables and fruits,705,Bunch,aggregate,Wholesale,GHS,26.59,4.71
3484,15/01/2020,Hohoe,Hohoe Municipal,2802,7.15,0.47,Tomatoes (local),vegetables and fruits,346,52 KG,aggregate,Wholesale,GHS,258.32,45.72
3485,15/01/2020,Hohoe,Hohoe Municipal,2802,7.15,0.47,Tomatoes (navrongo),vegetables and fruits,710,52 KG,aggregate,Wholesale,GHS,209.99,37.17
3494,15/01/2020,Hohoe,Hohoe Municipal,2802,7.15,0.47,Plantains (apentu),vegetables and fruits,98,Bunch,aggregate,Wholesale,GHS,19.66,3.48
3872,15/01/2021,Hohoe,Hohoe Municipal,2802,7.15,0.47,Tomatoes (navrongo),vegetables and fruits,710,KG,aggregate,Retail,GHS,1.35,0.23
3873,15/01/2021,Hohoe,Hohoe Municipal,2802,7.15,0.47,Tomatoes (local),vegetables and fruits,346,KG,aggregate,Retail,GHS,1.41,0.24
3874,15/01/2021,Hohoe,Hohoe Municipal,2802,7.15,0.47,Plantains (apentu),vegetables and fruits,98,KG,aggregate,Retail,GHS,5.71,0.98
3896,15/01/2021,Hohoe,Hohoe Municipal,2802,7.15,0.47,Plantains (apentu),vegetables and fruits,98,Bunch,aggregate,Wholesale,GHS,51.08,8.81
3975,15/01/2021,Hohoe,Hohoe Municipal,2802,7.15,0.47,Plantains (apem),vegetables and fruits,705,Bunch,aggregate,Wholesale,GHS,13.82,2.38
3976,15/01/2021,Hohoe,Hohoe Municipal,2802,7.15,0.47,Peppers (dried),vegetables and fruits,714,KG,aggregate,Retail,GHS,1.14,0.2
3981,15/01/2021,Hohoe,Hohoe Municipal,2802,7.15,0.47,Onions,vegetables and fruits,173,73 KG,aggregate,Wholesale,GHS,225.0,38.79
3982,15/01/2021,Hohoe,Hohoe Municipal,2802,7.15,0.47,Eggplants,vegetables and fruits,434,KG,aggregate,Retail,GHS,3.67,0.63
3983,15/01/2021,Hohoe,Hohoe Municipal,2802,7.15,0.47,Eggplants,vegetables and fruits,434,27 KG,aggregate,Wholesale,GHS,19.6,3.38
3984,15/01/2021,Hohoe,Hohoe Municipal,2802,7.15,0.47,Cowpeas (white),pulses and nuts,479,109 KG,aggregate,Wholesale,GHS,166.4,28.69
3985,15/01/2021,Hohoe,Hohoe Municipal,2802,7.15,0.47,Cowpeas,pulses and nuts,218,KG,aggregate,Retail,GHS,3.45,0.59
3986,15/01/2021,Hohoe,Hohoe Municipal,2802,7.15,0.47,"Meat (chicken, local)","meat, fish and eggs",792,10 KG,aggregate,Wholesale,GHS,196.8,33.93
3987,15/01/2021,Hohoe,Hohoe Municipal,2802,7.15,0.47,Meat (chicken),"meat, fish and eggs",94,KG,aggregate,Retail,GHS,3.95,0.68
3988,15/01/2021,Hohoe,Hohoe Municipal,2802,7.15,0.47,Meat (chicken),"meat, fish and eggs",94,10 KG,aggregate,Wholesale,GHS,345.85,59.63
3989,15/01/2021,Hohoe,Hohoe Municipal,2802,7.15,0.47,"Fish (mackerel, fresh)","meat, fish and eggs",744,KG,aggregate,Retail,GHS,3.38,0.58
3990,15/01/2021,Hohoe,Hohoe Municipal,2802,7.15,0.47,Eggs,"meat, fish and eggs",92,30 pcs,aggregate,Wholesale,GHS,54.92,9.47
3991,15/01/2021,Hohoe,Hohoe Municipal,2802,7.15,0.47,Yam (puna),cereals and tubers,737,KG,aggregate,Retail,GHS,4.28,0.74
4003,15/01/2021,Hohoe,Hohoe Municipal,2802,7.15,0.47,Yam (puna),cereals and tubers,737,250 KG,aggregate,Wholesale,GHS,826.73,142.54
4014,15/01/2021,Hohoe,Hohoe Municipal,2802,7.15,0.47,Yam,cereals and tubers,99,KG,aggregate,Retail,GHS,3.87,0.67
4015,15/01/2021,Hohoe,Hohoe Municipal,2802,7.15,0.47,Sorghum,cereals and tubers,65,109 KG,aggregate,Wholesale,GHS,460.7,79.43
4016,15/01/2021,Ho,Ho Municipal,219,6.6,0.47,Meat (chicken),"meat, fish and eggs",94,KG,aggregate,Retail,GHS,4.39,0.76
4017,15/01/2021,Ho,Ho Municipal,219,6.6,0.47,"Fish (mackerel, fresh)","meat, fish and eggs",744,KG,aggregate,Retail,GHS,3.6,0.62
4018,15/01/2021,Ho,Ho Municipal,219,6.6,0.47,Yam (puna),cereals and tubers,737,KG,aggregate,Retail,GHS,5.4,0.93
4019,15/01/2021,Ho,Ho Municipal,219,6.6,0.47,Yam,cereals and tubers,99,KG,aggregate,Retail,GHS,2.32,0.4
4020,15/01/2021,Ho,Ho Municipal,219,6.6,0.47,Sorghum,cereals and tubers,65,KG,aggregate,Retail,GHS,3.69,0.64
4021,15/01/2021,Ho,Ho Municipal,219,6.6,0.47,Rice (local),cereals and tubers,71,KG,aggregate,Retail,GHS,4.35,0.75
4022,15/01/2021,Ho,Ho Municipal,219,6.6,0.47,Rice (imported),cereals and tubers,64,KG,aggregate,Retail,GHS,4.48,0.77
