Unnamed: 0,date,city,market_sold_at,market_id,latitude,longitude,crop,crop_category,crop_id,unit(KG),price_flag,price_type,currency,cedi_price,dollar_price
1856,15/01/2006,Wa,Wa Municipal,222,10.05,-2.48,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,26.07,28.34
1858,15/01/2006,Wa,Wa Municipal,222,10.05,-2.48,Millet,cereals and tubers,73,93 KG,actual,Wholesale,GHS,30.85,33.53
1860,15/01/2006,Wa,Wa Municipal,222,10.05,-2.48,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,21.4,23.26
1864,15/01/2006,Wa,Wa Municipal,222,10.05,-2.48,Sorghum,cereals and tubers,65,109 KG,actual,Wholesale,GHS,31.13,33.84
1873,15/01/2006,Wa,Wa Municipal,222,10.05,-2.48,Yam,cereals and tubers,99,250 KG,actual,Wholesale,GHS,49.0,53.26
1889,15/01/2007,Wa,Wa Municipal,222,10.05,-2.48,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,16.1,17.5
1890,15/01/2007,Wa,Wa Municipal,222,10.05,-2.48,Millet,cereals and tubers,73,93 KG,actual,Wholesale,GHS,22.08,24.0
1892,15/01/2007,Wa,Wa Municipal,222,10.05,-2.48,Rice (imported),cereals and tubers,64,50 KG,actual,Wholesale,GHS,26.0,28.26
1911,15/01/2007,Wa,Wa Municipal,222,10.05,-2.48,Sorghum,cereals and tubers,65,109 KG,actual,Wholesale,GHS,20.13,21.88
1912,15/01/2007,Wa,Wa Municipal,222,10.05,-2.48,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,30.4,33.04
1913,15/01/2007,Wa,Wa Municipal,222,10.05,-2.48,Yam,cereals and tubers,99,250 KG,actual,Wholesale,GHS,59.67,64.86
1915,15/01/2008,Wa,Wa Municipal,222,10.05,-2.48,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,32.14,33.83
1916,15/01/2008,Wa,Wa Municipal,222,10.05,-2.48,Sorghum,cereals and tubers,65,109 KG,actual,Wholesale,GHS,36.01,37.91
1917,15/01/2008,Wa,Wa Municipal,222,10.05,-2.48,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,82.0,86.32
1931,15/01/2008,Wa,Wa Municipal,222,10.05,-2.48,Rice (imported),cereals and tubers,64,50 KG,actual,Wholesale,GHS,47.5,5.0
1933,15/01/2008,Wa,Wa Municipal,222,10.05,-2.48,Millet,cereals and tubers,73,93 KG,actual,Wholesale,GHS,35.77,37.65
1942,15/01/2008,Wa,Wa Municipal,222,10.05,-2.48,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,27.68,29.14
2004,15/01/2009,Wa,Wa Municipal,222,10.05,-2.48,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,99.0,77.34
2005,15/01/2009,Wa,Wa Municipal,222,10.05,-2.48,Sorghum,cereals and tubers,65,109 KG,actual,Wholesale,GHS,52.9,41.33
2006,15/01/2009,Wa,Wa Municipal,222,10.05,-2.48,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,51.8,40.47
2040,15/01/2009,Wa,Wa Municipal,222,10.05,-2.48,Rice (imported),cereals and tubers,64,50 KG,actual,Wholesale,GHS,65.0,50.78
2042,15/01/2009,Wa,Wa Municipal,222,10.05,-2.48,Millet,cereals and tubers,73,93 KG,actual,Wholesale,GHS,50.4,39.38
2043,15/01/2009,Wa,Wa Municipal,222,10.05,-2.48,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,41.42,32.36
2132,15/01/2010,Wa,Wa Municipal,222,10.05,-2.48,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,25.0,17.73
2137,15/01/2010,Wa,Wa Municipal,222,10.05,-2.48,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,8.0,5.67
2138,15/01/2010,Wa,Wa Municipal,222,10.05,-2.48,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,109.0,77.3
2139,15/01/2010,Wa,Wa Municipal,222,10.05,-2.48,Sorghum,cereals and tubers,65,109 KG,actual,Wholesale,GHS,59.8,42.41
