Unnamed: 0,date,city,market_sold_at,market_id,latitude,longitude,crop,crop_category,crop_id,unit(KG),price_flag,price_type,currency,cedi_price,dollar_price
2253,15/01/2011,Mankessim,Mfantsiman,214,5.27,-1.02,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,3.97,2.67
2343,15/01/2012,Mankessim,Mfantsiman,214,5.27,-1.02,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,4.72,2.76
2344,15/01/2012,Mankessim,Mfantsiman,214,5.27,-1.02,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,207.5,121.11
2345,15/01/2012,Mankessim,Mfantsiman,214,5.27,-1.02,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,90.5,52.82
2346,15/01/2012,Mankessim,Mfantsiman,214,5.27,-1.02,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,122.5,71.5
2347,15/01/2012,Mankessim,Mfantsiman,214,5.27,-1.02,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,17.5,10.21
2348,15/01/2012,Cape Coast,Cape Coast Metro,213,5.11,-1.24,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,5.5,3.21
2350,15/01/2012,Cape Coast,Cape Coast Metro,213,5.11,-1.24,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,215.0,125.49
2351,15/01/2012,Cape Coast,Cape Coast Metro,213,5.11,-1.24,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,115.0,67.12
2352,15/01/2012,Cape Coast,Cape Coast Metro,213,5.11,-1.24,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,20.0,11.67
2360,15/01/2012,Cape Coast,Cape Coast Metro,213,5.11,-1.24,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,90.0,52.53
2382,15/01/2013,Cape Coast,Cape Coast Metro,213,5.11,-1.24,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,44.0,23.16
2383,15/01/2013,Cape Coast,Cape Coast Metro,213,5.11,-1.24,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,100.0,52.63
2384,15/01/2013,Cape Coast,Cape Coast Metro,213,5.11,-1.24,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,85.0,44.74
2385,15/01/2013,Cape Coast,Cape Coast Metro,213,5.11,-1.24,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,275.0,144.74
