region,district,date,Market,source,_geolocation,commodity,Price,market_day,Year,month,week,Type
Central,Mfantsiman Municipal,16-07-2025,Mankessim,retail,,white maize,8.66,2025-07-16,2025,7,3,retail
Central,Mfantsiman Municipal,16-07-2025,Mankessim,retail,,Maize Yellow,9.485,2025-07-16,2025,7,3,retail
Central,Mfantsiman Municipal,16-07-2025,Mankessim,retail,,Millet,19.86333333,2025-07-16,2025,7,3,retail
Central,Mfantsiman Municipal,16-07-2025,Mankessim,retail,,Rice Local perfumed,20.64333333,2025-07-16,2025,7,3,retail
Central,Mfantsiman Municipal,16-07-2025,Mankessim,retail,,Rice Local non perfumed,15.11,2025-07-16,2025,7,3,retail
Central,Mfantsiman Municipal,16-07-2025,Mankessim,retail,,Rice Imported perfumed,20.28333333,2025-07-16,2025,7,3,retail
Central,Mfantsiman Municipal,16-07-2025,Mankessim,retail,,Rice Imported non perfumed,11.86666667,2025-07-16,2025,7,3,retail
Central,Mfantsiman Municipal,16-07-2025,Mankessim,retail,,Yam White,17.08333333,2025-07-16,2025,7,3,retail
Central,Mfantsiman Municipal,16-07-2025,Mankessim,retail,,Cocoyam,30.95,2025-07-16,2025,7,3,retail
Central,Mfantsiman Municipal,16-07-2025,Mankessim,retail,,Cassava,5.03,2025-07-16,2025,7,3,retail
Central,Mfantsiman Municipal,16-07-2025,Mankessim,retail,,Gari,15.12,2025-07-16,2025,7,3,retail
Central,Mfantsiman Municipal,16-07-2025,Mankessim,retail,,Dried Cassava Powder Kokonte,12.4475,2025-07-16,2025,7,3,retail
Central,Mfantsiman Municipal,16-07-2025,Mankessim,retail,,Plantain Apentu,24.405,2025-07-16,2025,7,3,retail
Central,Mfantsiman Municipal,16-07-2025,Mankessim,retail,,Plantain Apem,29.40666667,2025-07-16,2025,7,3,retail
Central,Mfantsiman Municipal,16-07-2025,Mankessim,retail,,Banana Exotic,18.32666667,2025-07-16,2025,7,3,retail
Central,Mfantsiman Municipal,16-07-2025,Mankessim,retail,,Banana Local,17.52333333,2025-07-16,2025,7,3,retail
Central,Mfantsiman Municipal,16-07-2025,Mankessim,retail,,Orange,9.153333333,2025-07-16,2025,7,3,retail
Central,Mfantsiman Municipal,16-07-2025,Mankessim,retail,,Watermelon,4.08,2025-07-16,2025,7,3,retail
Central,Mfantsiman Municipal,16-07-2025,Mankessim,retail,,Pineapple,7.6325,2025-07-16,2025,7,3,retail
Central,Mfantsiman Municipal,16-07-2025,Mankessim,retail,,Mango Exotic,10.67333333,2025-07-16,2025,7,3,retail
Central,Mfantsiman Municipal,16-07-2025,Mankessim,retail,,Tomato Local,18.3425,2025-07-16,2025,7,3,retail
Central,Mfantsiman Municipal,16-07-2025,Mankessim,retail,,Garden Egg,19.13,2025-07-16,2025,7,3,retail
Central,Mfantsiman Municipal,16-07-2025,Mankessim,retail,,Okro Fresh,20.94,2025-07-16,2025,7,3,retail
Central,Mfantsiman Municipal,16-07-2025,Mankessim,retail,,Onion,21.66666667,2025-07-16,2025,7,3,retail
Central,Mfantsiman Municipal,16-07-2025,Mankessim,retail,,Ginger,202.5725,2025-07-16,2025,7,3,retail
Central,Mfantsiman Municipal,16-07-2025,Mankessim,retail,,Dried Pepper Legon 18,99.37333333,2025-07-16,2025,7,3,retail
Central,Mfantsiman Municipal,16-07-2025,Mankessim,retail,,Fresh Pepper Legon 18,50.28333333,2025-07-16,2025,7,3,retail
Central,Mfantsiman Municipal,16-07-2025,Mankessim,retail,,Fresh Pepper Bonnet,32.12666667,2025-07-16,2025,7,3,retail
Central,Mfantsiman Municipal,16-07-2025,Mankessim,retail,,Palm Fruit,8.91,2025-07-16,2025,7,3,retail
Central,Mfantsiman Municipal,16-07-2025,Mankessim,retail,,Tiger Nut,66.7625,2025-07-16,2025,7,3,retail
Central,Mfantsiman Municipal,16-07-2025,Mankessim,retail,,Groundnut Red,20.41333333,2025-07-16,2025,7,3,retail
Central,Mfantsiman Municipal,16-07-2025,Mankessim,retail,,Cowpea White,18.07333333,2025-07-16,2025,7,3,retail
Central,Mfantsiman Municipal,16-07-2025,Mankessim,retail,,Soya Bean,17.82,2025-07-16,2025,7,3,retail
Central,Mfantsiman Municipal,16-07-2025,Mankessim,retail,,Melon seeds Agushi,59.54,2025-07-16,2025,7,3,retail
Central,Mfantsiman Municipal,16-07-2025,Mankessim,retail,,Melon seeds Agushi Powder,67.835,2025-07-16,2025,7,3,retail
Central,Mfantsiman Municipal,16-07-2025,Mankessim,retail,,Melon seeds Neri,22.12,2025-07-16,2025,7,3,retail
Central,Mfantsiman Municipal,16-07-2025,Mankessim,retail,,Melon seeds Neri Powder,18.3025,2025-07-16,2025,7,3,retail
Central,Mfantsiman Municipal,16-07-2025,Mankessim,retail,,Palm Oil,20.8325,2025-07-16,2025,7,3,retail
