date,year,month,day,region,city,market_sold_at,latitude,longitude,unit(KG),cedi_price,cedi_price/kg
2008-04-15,2008,4,15,GREATER ACCRA,Tema,TEMA METROPOLIS,5.62,-0.02,1.0,6.0,6.0
2008-04-15,2008,4,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,1.0,5.0,5.0
2008-04-15,2008,4,15,VOLTA,Ho,HO MUNICIPAL,6.6,0.47,1.0,3.75,3.75
2008-04-15,2008,4,15,WESTERN,Sekondi/Takoradi,SEKONDI TAKORADI,4.93,-1.7,1.0,4.5,4.5
2008-05-15,2008,5,15,ASHANTI,Kumasi,KMA,6.68,-1.62,1.0,3.7,3.7
2008-05-15,2008,5,15,ASHANTI,Obuasi,OBUASI MUNICIPAL,6.2,-1.67,1.0,3.75,3.75
2008-05-15,2008,5,15,BRONG AHAFO,Sunyani,SUNYANI MUNICIPAL,7.33,-2.33,1.0,3.65,3.65
2008-05-15,2008,5,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,1.0,4.25,4.25
2008-05-15,2008,5,15,CENTRAL,Cape Coast,CAPE COAST METRO,5.11,-1.24,1.0,5.0,5.0
2008-05-15,2008,5,15,CENTRAL,Mankessim,MFANTSIMAN,5.27,-1.02,1.0,3.65,3.65
2008-05-15,2008,5,15,EASTERN,Koforidua,NEW JUABEN MUNICIPAL,6.08,-0.25,1.0,5.75,5.75
2008-05-15,2008,5,15,GREATER ACCRA,Accra,ACCRA METROPOLIS,5.55,-0.22,1.0,7.32,7.32
2008-05-15,2008,5,15,GREATER ACCRA,Tema,TEMA METROPOLIS,5.62,-0.02,1.0,7.25,7.25
2008-05-15,2008,5,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,1.0,7.25,7.25
2008-05-15,2008,5,15,VOLTA,Ho,HO MUNICIPAL,6.6,0.47,1.0,4.5,4.5
2008-05-15,2008,5,15,WESTERN,Sekondi/Takoradi,SEKONDI TAKORADI,4.93,-1.7,1.0,4.65,4.65
2008-06-15,2008,6,15,ASHANTI,Kumasi,KMA,6.68,-1.62,1.0,5.6,5.6
2008-06-15,2008,6,15,ASHANTI,Obuasi,OBUASI MUNICIPAL,6.2,-1.67,1.0,8.12,8.12
2008-06-15,2008,6,15,BRONG AHAFO,Sunyani,SUNYANI MUNICIPAL,7.33,-2.33,1.0,4.87,4.87
2008-06-15,2008,6,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,1.0,5.0,5.0
2008-06-15,2008,6,15,CENTRAL,Cape Coast,CAPE COAST METRO,5.11,-1.24,1.0,8.75,8.75
2008-06-15,2008,6,15,CENTRAL,Mankessim,MFANTSIMAN,5.27,-1.02,1.0,6.67,6.67
2008-06-15,2008,6,15,EASTERN,Koforidua,NEW JUABEN MUNICIPAL,6.08,-0.25,1.0,11.0,11.0
2008-06-15,2008,6,15,GREATER ACCRA,Accra,ACCRA METROPOLIS,5.55,-0.22,1.0,10.0,10.0
2008-06-15,2008,6,15,GREATER ACCRA,Tema,TEMA METROPOLIS,5.62,-0.02,1.0,9.75,9.75
2008-06-15,2008,6,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,1.0,9.33,9.33
2008-06-15,2008,6,15,VOLTA,Ho,HO MUNICIPAL,6.6,0.47,1.0,9.83,9.83
2008-06-15,2008,6,15,WESTERN,Sekondi/Takoradi,SEKONDI TAKORADI,4.93,-1.7,1.0,6.6,6.6
2008-07-15,2008,7,15,ASHANTI,Kumasi,KMA,6.68,-1.62,1.0,2.86,2.86
2008-07-15,2008,7,15,ASHANTI,Obuasi,OBUASI MUNICIPAL,6.2,-1.67,1.0,6.17,6.17
2008-07-15,2008,7,15,BRONG AHAFO,Sunyani,SUNYANI MUNICIPAL,7.33,-2.33,1.0,4.16,4.16
2008-07-15,2008,7,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,1.0,4.5,4.5
2008-07-15,2008,7,15,CENTRAL,Cape Coast,CAPE COAST METRO,5.11,-1.24,1.0,5.06,5.06
2008-07-15,2008,7,15,CENTRAL,Mankessim,MFANTSIMAN,5.27,-1.02,1.0,3.16,3.16
2008-07-15,2008,7,15,EASTERN,Koforidua,NEW JUABEN MUNICIPAL,6.08,-0.25,1.0,6.0,6.0
2008-07-15,2008,7,15,GREATER ACCRA,Accra,ACCRA METROPOLIS,5.55,-0.22,1.0,9.0,9.0
2008-07-15,2008,7,15,GREATER ACCRA,Tema,TEMA METROPOLIS,5.62,-0.02,1.0,5.6,5.6
2008-07-15,2008,7,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,1.0,8.0,8.0
2008-07-15,2008,7,15,VOLTA,Ho,HO MUNICIPAL,6.6,0.47,1.0,8.0,8.0
2008-07-15,2008,7,15,WESTERN,Sekondi/Takoradi,SEKONDI TAKORADI,4.93,-1.7,1.0,1.9,1.9
